EpochID,Prediction
epoch057853,1
epoch057854,10
epoch057855,32
epoch057856,0
epoch057857,15
epoch057858,0
epoch057859,0
epoch057860,0
epoch057861,0
epoch057862,0
epoch057863,0
epoch057864,1
epoch057865,0
epoch057866,0
epoch057868,7
epoch057869,3
epoch057870,0
epoch057871,0
epoch057872,15
epoch057873,2
epoch057874,67
epoch057876,15
epoch057877,0
epoch057878,20
epoch057879,0
epoch057880,0
epoch057881,16
epoch057882,19
epoch057884,3
epoch057885,1
epoch057889,0
epoch057890,0
epoch057892,0
epoch057893,0
epoch057894,0
epoch057895,3
epoch057900,2
epoch057901,19
epoch057902,10
epoch057903,0
epoch057904,0
epoch057906,57
epoch057907,0
epoch057908,0
epoch057909,17
epoch057911,3
epoch057912,2
epoch057913,17
epoch057914,0
epoch057915,51
epoch057916,81
epoch057917,0
epoch057923,0
epoch057924,3
epoch057925,0
epoch057928,0
epoch057929,2
epoch057930,0
epoch057931,0
epoch057932,0
epoch057933,0
epoch057934,17
epoch057935,0
epoch057936,0
epoch057937,5
epoch057938,0
epoch057939,0
epoch057940,0
epoch057944,6
epoch057945,0
epoch057946,0
epoch057947,7
epoch057948,8
epoch057949,0
epoch057950,0
epoch057951,0
epoch057952,16
epoch057953,0
epoch057954,0
epoch057956,16
epoch057957,18
epoch057958,0
epoch057959,3
epoch057961,6
epoch057962,2
epoch057963,13
epoch057964,0
epoch057965,16
epoch057966,0
epoch057967,12
epoch057969,12
epoch057970,10
epoch057971,2
epoch057972,0
epoch057974,0
epoch057975,0
epoch057976,18
epoch057977,3
epoch057978,19
epoch057979,0
epoch057980,8
epoch057981,4
epoch057982,17
epoch057983,17
epoch057984,2
epoch057985,2
epoch057986,0
epoch057987,23
epoch057988,0
epoch057992,0
epoch057994,65
epoch057995,13
epoch057998,3
epoch058000,1
epoch058001,18
epoch058002,0
epoch058003,0
epoch058004,0
epoch058005,0
epoch058006,0
epoch058007,19
epoch058008,15
epoch058009,16
epoch058010,0
epoch058011,2
epoch058012,4
epoch058014,19
epoch058015,7
epoch058016,19
epoch058017,0
epoch058018,18
epoch058019,0
epoch058021,0
epoch058022,3
epoch058024,0
epoch058025,13
epoch058026,0
epoch058028,3
epoch058029,0
epoch058030,0
epoch058031,12
epoch058032,0
epoch058033,0
epoch058034,0
epoch058035,10
epoch058036,0
epoch058037,19
epoch058038,16
epoch058039,19
epoch058040,0
epoch058041,2
epoch058042,0
epoch058043,15
epoch058044,12
epoch058045,0
epoch058046,10
epoch058047,25
epoch058048,0
epoch058049,0
epoch058050,3
epoch058051,13
epoch058052,0
epoch058053,32
epoch058054,13
epoch058055,0
epoch058056,2
epoch058057,3
epoch058058,67
epoch058059,0
epoch058060,0
epoch058061,0
epoch058062,0
epoch058063,0
epoch058064,7
epoch058065,19
epoch058066,0
epoch058067,3
epoch058068,0
epoch058069,0
epoch058070,17
epoch058071,16
epoch058073,0
epoch058075,14
epoch058077,1
epoch058078,3
epoch058079,7
epoch058080,19
epoch058082,19
epoch058083,0
epoch058084,19
epoch058085,0
epoch058086,0
epoch058087,1
epoch058088,0
epoch058089,1
epoch058091,13
epoch058092,0
epoch058093,4
epoch058094,0
epoch058095,1
epoch058096,3
epoch058097,0
epoch058098,16
epoch058099,0
epoch058101,0
epoch058102,0
epoch058104,0
epoch058105,19
epoch058106,17
epoch058108,19
epoch058109,15
epoch058110,0
epoch058111,0
epoch058113,0
epoch058114,5
epoch058115,10
epoch058116,3
epoch058117,0
epoch058118,0
epoch058119,29
epoch058120,16
epoch058122,0
epoch058123,15
epoch058124,15
epoch058125,19
epoch058127,0
epoch058128,0
epoch058129,5
epoch058130,0
epoch058131,17
epoch058132,0
epoch058133,19
epoch058134,0
epoch058135,67
epoch058137,15
epoch058139,16
epoch058140,0
epoch058141,0
epoch058142,0
epoch058144,8
epoch058145,19
epoch058147,0
epoch058150,1
epoch058152,18
epoch058153,2
epoch058154,15
epoch058155,0
epoch058156,0
epoch058157,16
epoch058158,0
epoch058160,41
epoch058161,18
epoch058162,2
epoch058163,7
epoch058164,20
epoch058166,0
epoch058167,19
epoch058168,0
epoch058169,0
epoch058171,8
epoch058172,19
epoch058173,17
epoch058174,0
epoch058175,0
epoch058176,0
epoch058177,18
epoch058178,1
epoch058180,12
epoch058181,0
epoch058182,0
epoch058183,20
epoch058184,0
epoch058186,0
epoch058188,18
epoch058189,2
epoch058190,1
epoch058191,0
epoch058192,7
epoch058193,0
epoch058194,0
epoch058195,0
epoch058196,17
epoch058201,3
epoch058204,0
epoch058205,19
