EpochID,Prediction
epoch057853,19
epoch057854,15
epoch057855,18
epoch057856,0
epoch057857,19
epoch057858,0
epoch057859,0
epoch057860,0
epoch057861,0
epoch057862,0
epoch057863,0
epoch057864,6
epoch057865,0
epoch057866,0
epoch057868,7
epoch057869,14
epoch057870,0
epoch057871,0
epoch057872,19
epoch057873,16
epoch057874,3
epoch057876,18
epoch057877,0
epoch057878,15
epoch057879,0
epoch057880,0
epoch057881,8
epoch057882,18
epoch057884,18
epoch057885,54
epoch057889,0
epoch057890,0
epoch057892,0
epoch057893,0
epoch057894,0
epoch057895,3
epoch057900,9
epoch057901,18
epoch057902,19
epoch057903,0
epoch057904,0
epoch057906,85
epoch057907,0
epoch057908,0
epoch057909,8
epoch057911,13
epoch057912,2
epoch057913,2
epoch057914,0
epoch057915,13
epoch057916,15
epoch057917,0
epoch057923,0
epoch057924,19
epoch057925,0
epoch057928,0
epoch057929,18
epoch057930,0
epoch057931,0
epoch057932,0
epoch057933,0
epoch057934,17
epoch057935,0
epoch057936,0
epoch057937,19
epoch057938,0
epoch057939,0
epoch057940,0
epoch057944,2
epoch057945,0
epoch057946,0
epoch057947,78
epoch057948,8
epoch057949,0
epoch057950,0
epoch057951,0
epoch057952,15
epoch057953,0
epoch057954,0
epoch057956,9
epoch057957,18
epoch057958,0
epoch057959,12
epoch057961,19
epoch057962,18
epoch057963,3
epoch057964,0
epoch057965,9
epoch057966,0
epoch057967,18
epoch057969,18
epoch057970,4
epoch057971,8
epoch057972,0
epoch057974,0
epoch057975,0
epoch057976,19
epoch057977,19
epoch057978,10
epoch057979,0
epoch057980,17
epoch057981,18
epoch057982,8
epoch057983,18
epoch057984,18
epoch057985,3
epoch057986,0
epoch057987,5
epoch057988,0
epoch057992,0
epoch057994,20
epoch057995,13
epoch057998,8
epoch058000,16
epoch058001,19
epoch058002,0
epoch058003,0
epoch058004,0
epoch058005,0
epoch058006,0
epoch058007,6
epoch058008,18
epoch058009,9
epoch058010,0
epoch058011,5
epoch058012,11
epoch058014,10
epoch058015,2
epoch058016,18
epoch058017,0
epoch058018,1
epoch058019,0
epoch058021,0
epoch058022,44
epoch058024,0
epoch058025,14
epoch058026,0
epoch058028,18
epoch058029,0
epoch058030,0
epoch058031,16
epoch058032,0
epoch058033,0
epoch058034,0
epoch058035,18
epoch058036,0
epoch058037,18
epoch058038,3
epoch058039,18
epoch058040,0
epoch058041,20
epoch058042,0
epoch058043,18
epoch058044,9
epoch058045,0
epoch058046,17
epoch058047,18
epoch058048,0
epoch058049,0
epoch058050,18
epoch058051,13
epoch058052,0
epoch058053,17
epoch058054,3
epoch058055,0
epoch058056,8
epoch058057,18
epoch058058,3
epoch058059,0
epoch058060,0
epoch058061,0
epoch058062,0
epoch058063,0
epoch058064,7
epoch058065,18
epoch058066,0
epoch058067,3
epoch058068,0
epoch058069,0
epoch058070,17
epoch058071,12
epoch058073,0
epoch058075,14
epoch058077,1
epoch058078,18
epoch058079,7
epoch058080,18
epoch058082,13
epoch058083,0
epoch058084,11
epoch058085,0
epoch058086,0
epoch058087,6
epoch058088,0
epoch058089,0
epoch058091,8
epoch058092,0
epoch058093,1
epoch058094,0
epoch058095,16
epoch058096,13
epoch058097,0
epoch058098,12
epoch058099,0
epoch058101,0
epoch058102,0
epoch058104,0
epoch058105,8
epoch058106,17
epoch058108,16
epoch058109,19
epoch058110,0
epoch058111,0
epoch058113,0
epoch058114,18
epoch058115,18
epoch058116,7
epoch058117,0
epoch058118,0
epoch058119,7
epoch058120,1
epoch058122,0
epoch058123,6
epoch058124,18
epoch058125,13
epoch058127,0
epoch058128,0
epoch058129,14
epoch058130,0
epoch058131,17
epoch058132,0
epoch058133,8
epoch058134,0
epoch058135,3
epoch058137,19
epoch058139,17
epoch058140,0
epoch058141,0
epoch058142,0
epoch058144,6
epoch058145,12
epoch058147,0
epoch058150,16
epoch058152,10
epoch058153,3
epoch058154,15
epoch058155,0
epoch058156,0
epoch058157,16
epoch058158,0
epoch058160,3
epoch058161,18
epoch058162,2
epoch058163,7
epoch058164,20
epoch058166,0
epoch058167,18
epoch058168,0
epoch058169,0
epoch058171,8
epoch058172,19
epoch058173,11
epoch058174,0
epoch058175,0
epoch058176,0
epoch058177,8
epoch058178,1
epoch058180,5
epoch058181,0
epoch058182,0
epoch058183,11
epoch058184,0
epoch058186,0
epoch058188,6
epoch058189,4
epoch058190,18
epoch058191,0
epoch058192,3
epoch058193,0
epoch058194,0
epoch058195,0
epoch058196,8
epoch058201,8
epoch058204,0
epoch058205,9
epoch058206,7
epoch058207,7
epoch058208,0
epoch058209,0
epoch058210,5
epoch058211,19
epoch058212,0
epoch058213,0
epoch058215,4
epoch058217,8
epoch058219,12
epoch058221,18
epoch058222,0
epoch058223,0
epoch058224,18
epoch058227,2
epoch058228,19
epoch058229,0
epoch058231,0
epoch058232,13
epoch058233,0
epoch058234,18
epoch058235,0
epoch058238,18
epoch058240,9
epoch058241,12
epoch058242,86
epoch058243,0
epoch058244,39
epoch058245,0
epoch058246,19
epoch058247,0
epoch058248,18
epoch058249,0
epoch058250,0
epoch058251,0
epoch058253,0
epoch058254,46
epoch058256,0
epoch058257,18
epoch058258,0
epoch058259,3
epoch058260,0
epoch058261,3
epoch058262,0
epoch058263,0
epoch058265,4
epoch058266,18
epoch058267,8
epoch058268,0
epoch058269,0
